Client_ID,Estimated_Income,Bank_Loans,Business_Lending,Credit_Card_Balance,Saving_Accounts,Checking_Accounts,Foreign_Currency_Account,Joined_Bank,Engagement Days,Income Band,Total_Loan,Processing_Fee,Nationality,Gender
IND16101,123545.42,1400623.12,1255331.52,2789.44,42985.73,324420.58,31481.78,12/31/2015,2/9/1910,Mid,2658744.08,79762.3224,European,Female
IND93121,308182.93,649331.84,176113.98,4458.61,133711.12,77431.58,12045.07,1/14/2013,1/25/1913,High,829904.43,24897.1329,American,Female
IND93310,122579.41,963017.56,861771.26,4959.36,721419.98,368467.2,11782.22,5/23/2021,9/18/1904,Mid,1829748.18,54892.4454,European,Male
IND71301,30942.07,276532.77,622223.7,3338.64,22381.69,108193.36,23955.9,9/19/2021,5/22/1904,Low,902095.11,27062.8533,American,Female
IND21279,50651.56,278071.37,430027.77,509.21,153748.94,94771.75,16732.39,3/20/2013,11/21/1912,Low,708608.35,21258.2505,European,Female
IND98618,502309.08,1469913.23,2143826.06,10639.31,1168238.27,507299.5,75592.25,1/29/2014,1/11/1912,High,3624378.6,108731.358,Asian,Male
IND35589,87019.73,273944.56,772573.6,1253.68,73580.86,54150.42,21530.91,1/8/2018,2/1/1908,Low,1047771.84,31433.1552,European,Female
IND40198,246615.84,622181.88,1078308.29,5835.26,308192.24,552072.84,29778.58,5/24/2005,9/17/1920,Mid,1706325.43,51189.7629,European,Female
IND49616,130023.36,366887.14,787555.56,219.19,271999.84,221138.08,31010.83,8/22/2016,6/19/1909,Mid,1154661.89,34639.8567,Australian,Male
IND55475,82703.81,842201.38,272858.21,8521.8,424345.83,990288.08,32253.44,4/6/2013,11/4/1912,Low,1123581.39,33707.4417,European,Male
IND61272,137256.09,1035297.66,469532.28,1050.56,471515.9,180073.64,34284.83,12/10/2020,3/1/1905,Mid,1505880.5,45176.415,European,Female
IND33884,224640.75,1091959.45,454281.87,3550.74,127330.83,532945.76,61733.24,5/29/2021,9/12/1904,Mid,1549792.06,46493.7618,European,Male
IND53121,147292.91,105266.65,1112746.46,4097.62,70287.24,35438.94,7805.91,2/15/2021,12/24/1904,Mid,1222110.73,36663.3219,American,Female
IND25680,263248.97,693956.23,2518271.85,7069.16,235234.17,554930.67,1624.19,9/25/2017,5/16/1908,Mid,3219297.24,96578.9172,European,Female
IND55454,193690.93,50809.39,626121.9,3610.42,174627.4,255463.27,4469.13,11/28/2017,3/13/1908,Mid,680541.71,20416.2513,European,Male
IND96454,91243.05,122158.61,411062.27,6660.85,1273038.67,639548.78,12504.17,3/5/2014,12/7/1911,Low,539881.73,16196.4519,European,Female
IND14292,162807.39,709300.71,270162.94,811.96,274495.08,517118.76,2337.77,12/13/2005,2/27/1920,Mid,980275.61,29408.2683,Asian,Male
IND67206,193729.94,66053.91,992911.86,2062.15,534461.09,337704.05,47911.89,1/13/2012,1/27/1914,Mid,1061027.92,31830.8376,European,Female
IND90177,131497.09,57219.9,498564.84,3127.86,506302.25,233012.21,21798.32,11/8/2006,4/3/1919,Mid,558912.6,16767.378,European,Female
IND60970,319205.91,0,945483.98,9.55,135307.81,360077.01,17710.52,12/23/2001,2/17/1924,High,945493.53,28364.8059,Asian,Male
IND24003,44088.51,1485747.33,717420.29,2795.52,55588.56,153723.93,40504.26,2/28/2020,12/12/1905,Low,2205963.14,66178.8942,European,Female
IND87800,420683.66,820479.9,1549847.59,1011.56,886562.2,683649.27,14157.73,1/24/2008,1/16/1918,High,2371339.05,71140.1715,European,Male
IND75987,32062.52,231528.63,352732.73,1612.82,109748.51,170536.53,5492.47,12/11/2006,3/1/1919,Low,585874.18,17576.2254,European,Female
IND70083,92487.65,560657.25,407139.68,2199.18,134675.95,49811.65,5026.45,8/28/2016,6/13/1909,Low,969996.11,29099.8833,European,Male
IND31444,130572.51,120782.42,854418.25,3225.23,264528.29,206472.95,17000.19,1/31/2020,1/9/1906,Mid,978425.9,29352.777,European,Male
IND70450,54753.75,80386.11,390608.62,1408.34,4470.98,14158.11,8745.72,7/21/2021,7/21/1904,Low,472403.07,14172.0921,Australian,Female
IND47520,180214.79,791256.59,1991318.1,587.71,783688.37,460993.16,36763.45,3/16/2020,11/25/1905,Mid,2783162.4,83494.872,Australian,Female
IND69076,52826.78,385480.43,71268.33,2617.61,86634.71,277114.4,20544.7,11/12/1996,3/29/1929,Low,459366.37,13780.9911,European,Female
IND53190,43622.88,39047.14,237137.34,229.9,223391.32,87604.44,16286.6,1/2/2007,2/7/1919,Low,276414.38,8292.4314,European,Male
IND58356,142841.26,508939.36,542464.52,3431.39,171867.52,450589.01,12316.33,1/9/2018,1/31/1908,Mid,1054835.27,31645.0581,African,Male
IND33691,90437.66,573366.17,704110,2830.36,80786.52,101203.16,9723.87,4/7/2009,11/3/1916,Low,1280306.53,38409.1959,African,Male
IND20398,32301.47,310657.96,579453.83,1751.42,14035.2,64447.35,13795.28,9/29/2008,5/12/1917,Low,891863.21,26755.8963,Australian,Male
IND54314,293419.07,2183384.72,1633759.29,4496.63,281227.25,634781.07,399.2,1/1/2007,2/8/1919,Mid,3821640.64,114649.2192,European,Female
IND74305,55011.84,479936.38,698612.48,3955.06,299657.72,474674.98,43547.8,12/11/1999,3/1/1926,Low,1182503.92,35475.1176,Australian,Male
IND37195,77971.46,478157.92,487689.45,856.21,25358.66,29222.53,24984.35,4/16/2015,10/26/1910,Low,966703.58,29001.1074,European,Female
IND52609,84111.51,304608.18,356683.94,156.67,84900.78,61947.58,3455.22,7/9/2005,8/2/1920,Low,661448.79,19843.4637,European,Male
IND26283,98369.29,213195.07,312562.61,1441.89,198629.79,235795.68,23821.78,4/21/2006,10/21/1919,Low,527199.57,15815.9871,European,Female
IND61913,243490.73,1045569.03,1105110.35,5578.34,382765.89,214328.73,32217.39,8/30/2012,6/11/1913,Mid,2156257.72,64687.7316,American,Male
IND35876,72431.34,1210753.08,1532523.47,5303.5,29765.93,127568.29,25402.35,9/27/2006,5/15/1919,Low,2748580.05,82457.4015,American,Male
IND19011,456003.99,1248952.37,1347657.84,7969.46,237200.27,674555.56,71113.77,11/7/2003,4/4/1922,High,2604579.67,78137.3901,European,Female
IND86703,71422.04,315175.42,813247.12,4253.34,7799.74,33404.46,38428.49,2/16/2018,12/24/1907,Low,1132675.88,33980.2764,European,Female
IND23640,39077.38,1187138.91,1231614.29,1305.38,242934.97,144670.39,11997.93,4/2/2018,11/9/1907,Low,2420058.58,72601.7574,European,Female
IND93407,274099.12,563101.95,520918.49,2461.94,0,0,4870.24,4/16/2010,10/26/1915,Mid,1086482.38,32594.4714,European,Female
IND40136,260826.75,804359.98,296849.18,270.6,106261.85,295539.4,46060.06,9/25/2019,5/17/1906,Mid,1101479.76,33044.3928,European,Male
IND76215,334331.81,164253.29,1094810.02,1029.3,396615.01,500709.98,46006.43,1/7/1999,2/2/1927,High,1260092.61,37802.7783,American,Female
IND93216,61398.26,360003.87,118884.97,550.75,109324.94,305000.74,2850.73,2/11/2012,12/29/1913,Low,479439.59,14383.1877,Asian,Male
IND54572,63246.3,448652.7,237993.7,2914.18,93209.87,362849.34,17124.28,4/11/2007,10/31/1918,Low,689560.58,20686.8174,European,Female
IND18649,158091.86,207662.76,235133.69,1080.03,70553.15,177146.44,17133.59,3/24/2019,11/18/1906,Mid,443876.48,13316.2944,European,Male
IND51790,131729.85,863722.1,506592.1,6215.34,166059.8,161746.56,41209.82,9/10/2016,5/31/1909,Mid,1376529.54,41295.8862,European,Male
IND17740,116926.94,1049088.92,1299697.25,3828.2,58413.66,200893.53,7382.34,6/18/2011,8/24/1914,Mid,2352614.37,70578.4311,Asian,Female
IND49489,148224.72,302048.92,456098.92,27.81,52337.66,28675.63,17272.56,8/9/1995,7/3/1930,Mid,758175.65,22745.2695,American,Male
IND50658,348248.56,1369215.65,2698297.83,3435.36,169226.54,124963.24,6690.97,8/24/2021,6/17/1904,High,4070948.84,122128.4652,Asian,Female
IND14798,19637.78,24331.27,100054.72,78.14,40993.86,83660.94,17286.26,9/24/2014,5/18/1911,Low,124464.13,3733.9239,American,Male
IND60926,150304.49,523866.09,607800.07,767.06,224185.92,199374.83,33854.22,12/13/1995,2/27/1930,Mid,1132433.22,33972.9966,American,Male
IND57710,52109.13,205552.05,1148304.5,209.68,88665.16,116949.64,6681.62,11/5/2003,4/6/1922,Low,1354066.23,40621.9869,European,Male
IND71795,156091.75,707577.9,837133.63,382.87,252896.89,112495.39,35301.62,8/23/2007,6/19/1918,Mid,1545094.4,46352.832,European,Male
IND98220,338383.13,1565513.72,884890.55,3505.86,144603.76,497152.15,74778.17,1/24/2020,1/16/1906,High,2453910.13,73617.3039,American,Male
IND91662,198553.59,414518.57,1522411.23,5581.31,570935.88,696263.26,40208.75,2/21/2019,12/19/1906,Mid,1942511.11,58275.3333,European,Female
IND18901,190119.93,527884.11,136723.47,3525.21,23741.9,122860.19,6920.94,11/5/2002,4/6/1923,Mid,668132.79,20043.9837,European,Male
IND49888,147956.79,701005.58,1504310.04,2977.86,279467.92,302231.76,23058.96,1/26/2003,1/14/1923,Mid,2208293.48,66248.8044,American,Female
IND76081,91071.75,677123.94,1554534.94,8062.65,147703.3,298923.34,7880.76,1/2/2010,2/7/1916,Low,2239721.53,67191.6459,Australian,Male
IND93705,96545.37,1104753.03,1941061.87,3386.45,252097.54,630243.86,39556.05,10/28/2020,4/13/1905,Low,3049201.35,91476.0405,American,Male
IND52847,63765,1012372.67,1665045.85,2644.75,478805.43,541210.29,62053.29,6/19/2015,8/23/1910,Low,2680063.27,80401.8981,Asian,Female
IND24592,191715.4,402401.84,673780.44,1296.45,121257.32,316098.13,19337.29,9/18/2007,5/24/1918,Mid,1077478.73,32324.3619,American,Male
IND31656,218312.27,1757312.99,735797.5,5886.56,402363.14,389770.55,30773.91,1/28/2012,1/12/1914,Mid,2498997.05,74969.9115,Asian,Male
IND85060,157167.47,597244.53,836453.63,1909.3,51169.56,128881.8,42714.8,2/15/2006,12/25/1919,Mid,1435607.46,43068.2238,European,Male
IND89139,101929.59,614181.3,516128.95,1163.81,373280.79,137911.62,12590.02,7/9/2014,8/3/1911,Mid,1131474.06,33944.2218,European,Female
IND81423,40985.49,358194.38,222160.88,646.13,37333.12,114664.94,13412.63,3/1/2009,12/10/1916,Low,581001.39,17430.0417,American,Male
IND85541,109218.7,587928.77,566786.3,2767.3,68530.24,128873.23,13413.79,9/12/2018,5/30/1907,Mid,1157482.37,34724.4711,African,Male
IND59219,174258.52,648432.67,452950.77,5185.78,198783.78,830895.18,36318.33,10/30/2014,4/12/1911,Mid,1106569.22,33197.0766,European,Male
IND43444,74059.23,374815.99,962931.99,1361.56,124336.41,216865.84,8446.4,11/14/2018,3/28/1907,Low,1339109.54,40173.2862,European,Female
IND85299,158874.14,261364.76,334072.22,2366.28,46915.77,101648.45,40839.46,7/22/2019,7/21/1906,Mid,597803.26,17934.0978,American,Male
IND58136,71958.9,124510.61,639874.92,2756.83,81093.97,120782.77,15957.53,1/10/2020,1/30/1906,Low,767142.36,23014.2708,American,Female
IND35725,189074.19,291504.55,358381.36,4138.78,162184.12,81405.16,11482.62,11/2/2012,4/8/1913,Mid,654024.69,19620.7407,European,Female
IND15648,74408.69,24949.1,326434.35,494.76,61145.05,218375.19,12141.52,1/6/2005,2/2/1921,Low,351878.21,10556.3463,Australian,Female
IND48116,447928.06,841124.62,347546.25,3074.93,457697.21,222491.7,33497.73,6/6/2019,9/5/1906,High,1191745.8,35752.374,African,Female
IND28531,309939.21,1198037.84,3619311.37,10999.17,145258.32,691706.3,44952.26,8/20/2001,6/21/1924,High,4828348.38,144850.4514,Australian,Female
IND45135,151227.36,455965.07,796820.24,397.4,79800.03,276609.8,13699.11,2/22/2011,12/18/1914,Mid,1253182.71,37595.4813,American,Male
IND72586,401412.67,1511484.73,155806.11,3172.65,399309.83,498247.56,51370.22,11/8/2016,4/2/1909,High,1670463.49,50113.9047,Asian,Male
IND80929,263452.26,0,980875.66,3107.16,507980,297957.89,16429.39,10/20/2021,4/21/1904,Mid,983982.82,29519.4846,European,Male
IND40714,404760.25,1022752.85,477400.93,4733.35,145323.96,212749.04,64179.71,5/10/2004,10/1/1921,High,1504887.13,45146.6139,European,Male
IND48405,122608.89,248995.76,166961.63,226.91,54616.36,182304.28,24666.31,12/19/2004,2/20/1921,Mid,416184.3,12485.529,European,Female
IND52634,72688.95,44247.13,362233.8,2577.26,24784.67,16596.87,24564.97,12/10/2008,3/1/1917,Low,409058.19,12271.7457,European,Female
IND18163,96295.61,311472.63,396610.18,1323.88,60174.6,136197.65,21291.85,5/18/2020,9/23/1905,Low,709406.69,21282.2007,European,Female
IND94008,127182.69,92065.37,613018.84,3142.39,567065.49,183771.22,24086.65,12/14/1996,2/25/1929,Mid,708226.6,21246.798,American,Female
IND53034,86309.17,184129.95,506381.3,954.95,71888.15,39799.67,11832.68,5/19/1996,9/22/1929,Low,691466.2,20743.986,European,Male
IND91806,39039.16,429795.64,83301.84,1286.88,253034.18,110466.9,13282.16,4/4/2021,11/6/1904,Low,514384.36,15431.5308,American,Female
IND25702,302021.94,1259346.41,2366879.7,825.52,137282.76,75017.9,23172.43,12/6/2015,3/6/1910,High,3627051.63,108811.5489,American,Male
IND67912,274381.44,665570.32,1827431.05,4251.72,424485.68,488444.23,47412.87,8/21/2003,6/21/1922,Mid,2497253.09,74917.5927,European,Female
IND76171,122710.9,763332.61,334266.15,4783.55,76867.33,48804.66,14130.27,6/17/1996,8/24/1929,Mid,1102382.31,33071.4693,European,Female
IND34798,120617.67,575222.32,970188.11,1932.43,122324.98,455869.5,16839.35,2/14/2020,12/26/1905,Mid,1547342.86,46420.2858,European,Male
IND93920,108847.47,129402.67,640916.4,2935.23,294010.15,177419.92,18533.78,11/11/2016,3/30/1909,Mid,773254.3,23197.629,European,Female
IND18628,93309.6,695931.26,935708.81,937.31,168820.58,319474.94,30101.04,1/29/2021,1/10/1905,Low,1632577.38,48977.3214,Asian,Female
IND42134,131076.39,256672.86,1750716.49,6092.06,159730.79,109714.07,53942.1,11/27/2006,3/15/1919,Mid,2013481.41,60404.4423,American,Female
IND92265,83441.32,322636.11,432785.25,862.35,133514.34,37398.97,1917.33,4/21/2001,10/20/1924,Low,756283.71,22688.5113,Asian,Female
IND77317,359386.37,1546378.41,168061.17,2420.87,163201.13,872458.87,75357.4,8/4/2021,7/7/1904,High,1716860.45,51505.8135,European,Female
IND60176,113118.57,641964.66,433718.35,1536.54,349792.54,340871.85,6328.91,7/31/2011,7/12/1914,Mid,1077219.55,32316.5865,Asian,Male
IND51597,110102.32,37756.8,469924.54,1513.51,91289.86,151887.89,5837.49,7/10/2008,8/1/1917,Mid,509194.85,15275.8455,European,Male
IND33238,343198.66,140800.99,637394.98,4049.93,306509.38,582243.06,11408.94,8/7/2004,7/4/1921,High,782245.9,23467.377,European,Female
IND18364,139310.32,252780.62,303349.11,2109.05,26792.46,113664.97,10164.28,6/4/2021,9/6/1904,Mid,558238.78,16747.1634,European,Male
IND92467,89269.83,32037.08,154043.36,329.22,152113.65,199933.91,1727.52,1/30/2017,1/9/1909,Low,186409.66,5592.2898,Asian,Female
IND60476,75161.91,557461.27,491968.85,2286.76,11901.73,16645.77,18131.52,3/8/2011,12/4/1914,Low,1051716.88,31551.5064,European,Female
IND61025,124589.37,124046.99,717391.36,468.2,129413.46,400359.37,22425.85,8/10/2000,7/1/1925,Mid,841906.55,25257.1965,Asian,Male
IND55955,435632.17,424214.25,961426.38,3008.92,56978.82,76882.97,10069.15,4/14/1999,10/28/1926,High,1388649.55,41659.4865,American,Female
IND75964,88221.82,918742.14,1451850.52,5284.59,156643.72,348097.16,15380.77,9/10/2018,6/1/1907,Low,2375877.25,71276.3175,European,Female
IND17939,48788.15,1099020.48,536373.73,872.32,337404.66,511219.18,53970.25,4/17/2001,10/24/1924,Low,1636266.53,49087.9959,Asian,Male
IND49363,324199.84,557907.89,359677.7,365.06,74814.01,369451.91,12758.36,8/23/2021,6/18/1904,High,917950.65,27538.5195,European,Male
IND93355,282658.49,436116.47,588222.31,10127.28,227346.98,512232.4,57308.34,8/7/2003,7/5/1922,Mid,1034466.06,31033.9818,European,Female
IND65845,274736.56,702014.71,865724.13,641.87,139270.9,105053.48,30227.92,1/1/1999,2/8/1927,Mid,1568380.71,47051.4213,African,Female
IND26284,147339.86,245108.44,959192.19,3638.15,53879.38,121975.18,4424.42,6/7/2005,9/3/1920,Mid,1207938.78,36238.1634,Asian,Female
IND24774,81683.44,418824.88,742030.19,2171.31,73686.1,644753.39,37787.75,11/1/2021,4/9/1904,Low,1163026.38,34890.7914,Asian,Female
IND12731,76005.3,495739.92,172313.94,5570.9,103025.56,399981.6,30266.72,1/4/2002,2/5/1924,Low,673624.76,20208.7428,Asian,Female
IND93115,206026.56,818737.34,256471.12,2470.82,357177.38,411037.46,23541.92,12/15/2003,2/25/1922,Mid,1077679.28,32330.3784,European,Female
IND85411,288440.81,397326.42,654569.82,1909.77,263367.53,168773.82,15874,10/29/1996,4/12/1929,Mid,1053806.01,31614.1803,Asian,Male
IND58620,57825.32,627597.93,1634407.3,3151.39,328186.19,395038.94,73866.7,9/23/2006,5/19/1919,Low,2265156.62,67954.6986,Asian,Female
IND86466,412837.04,927808.29,958339.06,7104.71,428967.97,441729.03,104897.64,12/10/2002,3/2/1923,High,1893252.06,56797.5618,African,Female
IND67594,130272.52,230291.87,985553.24,1928.39,32508.2,82050.55,34351.1,11/3/2016,4/7/1909,Mid,1217773.5,36533.205,European,Female
IND34060,360800.21,338782.79,520344.88,526.42,8748.93,45616.05,27404.41,12/22/1999,2/18/1926,High,859654.09,25789.6227,European,Female
IND93556,35234.55,144620.71,387030.32,3792.07,257073.42,115353.46,23225.95,5/14/2015,9/28/1910,Low,535443.1,16063.293,Asian,Female
IND98512,95828.94,312519.52,824674.14,1871.16,236464.93,93925.65,2184.53,8/17/2011,6/25/1914,Low,1139064.82,34171.9446,European,Male
IND52571,146788.5,122986.19,1002791.63,2397.24,223767.04,367870.98,27457.36,2/25/2003,12/15/1922,Mid,1128175.06,33845.2518,African,Male
IND37643,70386.82,1229595.68,1637999.56,4733.41,86670.02,190930.7,39190.01,10/13/2010,4/29/1915,Low,2872328.65,86169.8595,Australian,Male
IND54218,54632.7,60365.86,412083.07,833.75,76916.9,34781.55,6030.41,7/23/2020,7/19/1905,Low,473282.68,14198.4804,Australian,Male
IND61793,390608.46,1303392.78,1703047.68,6590.61,36534.23,54839.17,35486.35,9/7/2020,6/3/1905,High,3013031.07,90390.9321,European,Female
IND36608,209330.69,469557.5,187166.54,2424.38,105814.22,157333.1,62.59,11/28/2016,3/13/1909,Mid,659148.42,19774.4526,European,Male
IND48488,112683.73,832861.83,1165504.97,5247.15,173348.68,716470.66,26418.79,7/19/2005,7/23/1920,Mid,2003613.95,60108.4185,Asian,Female
IND67225,231396.28,113522.57,1228111.17,757.41,251867.45,577946.6,6840.2,12/21/2020,2/18/1905,Mid,1342391.15,40271.7345,European,Female
IND82919,49986.85,181563.18,191065.76,3557.99,38070.41,28061.73,14690.77,6/28/2015,8/14/1910,Low,376186.93,11285.6079,Asian,Female
IND77016,179434.37,391545.22,730708.22,3449.09,95325.22,284776.6,9890.3,3/13/2013,11/28/1912,Mid,1125702.53,33771.0759,Australian,Female
IND75034,111485.6,109518.69,810263.16,1768.32,190855.05,206941.85,42470.6,5/30/2011,9/12/1914,Mid,921550.17,27646.5051,American,Female
IND90860,131121.99,738628.08,968501.52,4267.35,352364.04,487211.65,10644.07,1/20/2000,1/20/1926,Mid,1711396.95,51341.9085,European,Male
IND73867,224722.41,1398446.98,1531982.67,690.58,69349.78,191631.2,75949.35,9/25/2019,5/17/1906,Mid,2931120.23,87933.6069,European,Female
IND27930,82651.24,172491.89,285502.46,1039.59,229271.8,223049.88,2813.19,6/26/1995,8/16/1930,Low,459033.94,13771.0182,African,Male
IND35620,21090.76,149157.79,427414.18,1386.56,34044.92,27357.52,19680.19,8/30/2019,6/12/1906,Low,577958.53,17338.7559,Asian,Female
IND91353,337249.36,484229.73,1545597.19,2617.08,413153.83,196948.33,52707.38,6/21/2007,8/21/1918,High,2032444,60973.32,American,Male
IND97689,107655.52,624915.32,655845.68,1045.18,428694.08,171664.9,1194.27,6/21/2018,8/21/1907,Mid,1281806.18,38454.1854,European,Female
IND77331,224839.07,816590.42,490030.51,3693.38,446849.76,373833.02,25010.46,10/23/2005,4/18/1920,Mid,1310314.31,39309.4293,Asian,Male
IND71401,84089.47,237269.07,243516.78,1815.03,20010.16,33734.01,602.74,3/20/2015,11/22/1910,Low,482600.88,14478.0264,European,Male
IND66104,246327.38,878592.94,462837.75,2661.56,39677.92,46607.49,48436.61,9/8/2002,6/3/1923,Mid,1344092.25,40322.7675,European,Male
IND36471,157380.5,1017636.33,1144712.1,691.74,170534.33,658677.58,46020.33,1/4/2012,2/5/1914,Mid,2163040.17,64891.2051,European,Male
IND81572,94278.19,135261.87,1013471.42,628.53,797373.92,376851.73,24220.55,6/21/2012,8/20/1913,Low,1149361.82,34480.8546,American,Female
IND94055,439472.87,858150.92,535785.29,917.32,312120.17,173400.1,16741.09,11/29/2012,3/12/1913,High,1394853.53,41845.6059,Asian,Male
IND88778,309468.8,801630.51,1488976.7,1974.36,240779.32,590771.54,60404.97,1/25/2018,1/15/1908,High,2292581.57,68777.4471,European,Male
IND68221,384142.67,572900.89,193773.28,4193.47,197156.08,145681.83,47953.37,12/15/2001,2/25/1924,High,770867.64,23126.0292,Asian,Female
IND58681,107365.62,172396.97,402594.38,2695.4,75465.6,74358.14,9218.44,11/6/1995,4/5/1930,Mid,577686.75,17330.6025,European,Female
IND54970,128148.71,121833.56,383125.01,1332.05,14641.83,46031.58,12705.66,8/22/2018,6/20/1907,Mid,506290.62,15188.7186,European,Male
IND26450,208965.85,511241.45,227001.45,5767.77,67066.94,432689.93,39350.76,6/24/2003,8/18/1922,Mid,744010.67,22320.3201,Asian,Female
IND28733,50054.16,276227.71,43473.89,389.45,55999.93,39311.55,11444.98,6/9/2017,9/1/1908,Low,320091.05,9602.7315,European,Female
IND91334,29125.26,723573.68,406859.75,4248.3,53376.59,151436.9,24406.01,10/3/2013,5/8/1912,Low,1134681.73,34040.4519,European,Female
IND61397,60970.29,196012.67,293613.77,707.11,120675.2,306060.29,23474.77,4/28/2021,10/13/1904,Low,490333.55,14710.0065,European,Male
IND65691,133180.88,510992.7,670259.88,4027.35,359475.43,145620.83,15138.47,5/11/2004,9/30/1921,Mid,1185279.93,35558.3979,Australian,Female
IND19666,71186.04,1267067.32,752241.86,4363.01,31743.84,241658.95,73828.5,7/2/2019,8/10/1906,Low,2023672.19,60710.1657,European,Male
IND76794,111956.47,556782.54,567031.76,1971.89,56705.34,246023.15,17993.57,4/18/2000,10/23/1925,Mid,1125786.19,33773.5857,European,Male
IND77195,175192.75,777960.39,1117329.49,2620.99,657266.86,396433.77,11312,9/17/2011,5/25/1914,Mid,1897910.87,56937.3261,American,Female
IND36167,148469.07,96667.9,716626.1,513.37,107171.23,284331.83,26628.77,9/3/2018,6/8/1907,Mid,813807.37,24414.2211,American,Male
IND76489,288372.7,1369221,1068170.04,4381.44,192757.29,64500.51,63160.44,4/19/2002,10/23/1923,Mid,2441772.48,73253.1744,European,Male
IND23438,266530.81,467686.8,985045.41,447.05,388708.6,219609.38,9180.93,11/8/2008,4/2/1917,Mid,1453179.26,43595.3778,European,Female
IND82705,78054.21,443193.19,768206.09,2462.62,335137.27,143374.23,38769.59,9/6/2012,6/4/1913,Low,1213861.9,36415.857,European,Male
IND67912,189555.93,457331.9,1220064.99,1723.34,72986.86,28963.04,41997.15,4/27/2021,10/14/1904,Mid,1679120.23,50373.6069,Asian,Male
IND33202,58989.7,238669.58,0,1451.77,266617.93,154753.36,34111.49,3/5/2019,12/7/1906,Low,240121.35,7203.6405,European,Female
IND19321,192727.18,703469.39,1713942.8,4306.71,243373.43,498986.15,35074.14,4/14/2021,10/27/1904,Mid,2421718.9,72651.567,European,Female
IND81583,258577.76,372833.03,479087.54,1672.26,379375.57,222524.4,40969.1,1/20/2019,1/20/1907,Mid,853592.83,25607.7849,European,Male
IND46105,456100.04,348975.03,1345870.73,2551.95,265160.06,363616.12,28117.69,5/26/2015,9/16/1910,High,1697397.71,50921.9313,Asian,Female
